Nap  ,Località                                ,Inizio validità,Fine validità,Fascia 1,Fascia 1A
13022,BOCCIOLETO                              ,1/1/2024,12/31/9999,x       ,         
21020,BODIO LOMNAGO                           ,1/1/2024,12/31/9999,x       ,x        
28842,BOGNANCO                                ,1/1/2024,12/31/9999,x       ,x        
28846,BORGOMEZZAVALLE                         ,1/1/2024,12/31/9999,x       ,x        
23032,BORMIO                                  ,1/1/2024,12/31/9999,x       ,         
23842,BOSISIO PARINI                          ,1/1/2024,12/31/9999,x       ,x        
21020,BREBBIA                                 ,1/1/2024,12/31/9999,x       ,         
22070,BREGNANO                                ,1/1/2024,12/31/9999,x       ,x        
22040,BRENNA                                  ,1/1/2024,12/31/9999,x       ,x        
21030,BRENTA                                  ,1/1/2024,12/31/9999,x       ,x        
21010,BREZZO DI BEDERO                        ,1/1/2024,12/31/9999,x       ,x        
22010,BRIENNO                                 ,1/1/2024,12/31/9999,x       ,x        
21030,BRINZIO                                 ,1/1/2024,12/31/9999,x       ,x        
20836,BRIOSCO                                 ,1/1/2024,12/31/9999,x       ,         
21030,BRISSAGO-VALTRAVAGLIA                   ,1/1/2024,12/31/9999,x       ,x        
11020,BRISSOGNE                               ,1/1/2024,12/31/9999,x       ,         
22034,BRUNATE                                 ,1/1/2024,12/31/9999,x       ,x        
21020,BRUNELLO                                ,1/1/2024,12/31/9999,x       ,x        
21050,BRUSIMPIANO                             ,1/1/2024,12/31/9999,x       ,x        
11022,BRUSSON                                 ,1/1/2024,12/31/9999,x       ,         
23010,BUGLIO IN MONTE                         ,1/1/2024,12/31/9999,x       ,         
21020,BUGUGGIATE                              ,1/1/2024,12/31/9999,x       ,x        
23892,BULCIAGO                                ,1/1/2024,12/31/9999,x       ,         
22070,BULGAROGRASSO                           ,1/1/2024,12/31/9999,x       ,x        
22060,CABIATE                                 ,1/1/2024,12/31/9999,x       ,x        
21031,CADEGLIANO-VICONAGO                     ,1/1/2024,12/31/9999,x       ,x        
22071,CADORAGO                                ,1/1/2024,12/31/9999,x       ,x        
21062,CADREZZATE CON OSMATE                   ,1/1/2024,12/31/9999,x       ,x        
22030,CAGLIO                                  ,1/1/2024,12/31/9999,x       ,x        
23010,CAIOLO                                  ,1/1/2024,12/31/9999,x       ,         
21050,CAIRATE                                 ,1/1/2024,12/31/9999,x       ,x        
28873,CALASCA-CASTIGLIONE                     ,1/1/2024,12/31/9999,x       ,x        
28814,CAMBIASCA                               ,1/1/2024,12/31/9999,x       ,x        
13023,CAMPERTOGNO                             ,1/1/2024,12/31/9999,x       ,         
22061,CAMPIONE D'ITALIA                       ,1/1/2024,12/31/9999,x       ,x        
23021,CAMPODOLCINO                            ,1/1/2024,12/31/9999,x       ,         
28821,CANNERO RIVIERA                         ,1/1/2024,12/31/9999,x       ,x        
28822,CANNOBIO                                ,1/1/2024,12/31/9999,x       ,x        
21050,CANTELLO                                ,1/1/2024,12/31/9999,x       ,x        
22063,CANTÙ                                   ,1/1/2024,12/31/9999,x       ,x        
22035,CANZO                                   ,1/1/2024,12/31/9999,x       ,x        
22070,CAPIAGO INTIMIANO                       ,1/1/2024,12/31/9999,x       ,x        
28815,CAPREZZO                                ,1/1/2024,12/31/9999,x       ,x        
22010,CARATE URIO                             ,1/1/2024,12/31/9999,x       ,x        
21032,CARAVATE                                ,1/1/2024,12/31/9999,x       ,x        
22070,CARBONATE                               ,1/1/2024,12/31/9999,x       ,x        
13026,CARCOFORO                               ,1/1/2024,12/31/9999,x       ,         
22060,CARIMATE                                ,1/1/2024,12/31/9999,x       ,x        
22010,CARLAZZO                                ,1/1/2024,12/31/9999,x       ,x        
21040,CARNAGO                                 ,1/1/2024,12/31/9999,x       ,x        
21040,CARONNO VARESINO                        ,1/1/2024,12/31/9999,x       ,x        
22060,CARUGO                                  ,1/1/2024,12/31/9999,x       ,x        
21020,CASALE LITTA                            ,1/1/2024,12/31/9999,x       ,x        
21030,CASALZUIGNO                             ,1/1/2024,12/31/9999,x       ,x        
23831,CASARGO                                 ,1/1/2024,12/31/9999,x       ,x        
21020,CASCIAGO                                ,1/1/2024,12/31/9999,x       ,x        
22030,CASLINO D'ERBA                          ,1/1/2024,12/31/9999,x       ,x        
22070,CASNATE CON BERNATE                     ,1/1/2024,12/31/9999,x       ,x        
23020,CASPOGGIO                               ,1/1/2024,12/31/9999,x       ,         
21012,CASSANO MAGNAGO                         ,1/1/2024,12/31/9999,x       ,x        
21030,CASSANO VALCUVIA                        ,1/1/2024,12/31/9999,x       ,x        
22070,CASSINA RIZZARDI                        ,1/1/2024,12/31/9999,x       ,x        
21030,CASTELLO CABIAGLIO                      ,1/1/2024,12/31/9999,x       ,x        
23030,CASTELLO DELL'ACQUA                     ,1/1/2024,12/31/9999,x       ,         
22030,CASTELMARTE                             ,1/1/2024,12/31/9999,x       ,x        
22070,CASTELNUOVO BOZZENTE                    ,1/1/2024,12/31/9999,x       ,x        
21050,CASTELSEPRIO                            ,1/1/2024,12/31/9999,x       ,x        
21010,CASTELVECCANA                           ,1/1/2024,12/31/9999,x       ,x        
21043,CASTIGLIONE OLONA                       ,1/1/2024,12/31/9999,x       ,x        
23012,CASTIONE ANDEVENNO                      ,1/1/2024,12/31/9999,x       ,         
21040,CASTRONNO                               ,1/1/2024,12/31/9999,x       ,x        
22010,CAVARGNA                                ,1/1/2024,12/31/9999,x       ,x        
21044,CAVARIA CON PREMEZZO                    ,1/1/2024,12/31/9999,x       ,x        
21020,CAZZAGO BRABBIA                         ,1/1/2024,12/31/9999,x       ,x        
23010,CEDRASCO                                ,1/1/2024,12/31/9999,x       ,         
22023,CENTRO VALLE INTELVI                    ,1/1/2024,12/31/9999,x       ,x        
28875,CEPPO MORELLI                           ,1/1/2024,12/31/9999,x       ,x        
22020,CERANO D'INTELVI                        ,1/1/2024,12/31/9999,x       ,x        
23016,CERCINO                                 ,1/1/2024,12/31/9999,x       ,         
22072,CERMENATE                               ,1/1/2024,12/31/9999,x       ,x        
22012,CERNOBBIO                               ,1/1/2024,12/31/9999,x       ,x        
13025,CERVATTO                                ,1/1/2024,12/31/9999,x       ,         
23861,CESANA BRIANZA                          ,1/1/2024,12/31/9999,x       ,x        
11023,CHAMBAVE                                ,1/1/2024,12/31/9999,x       ,         
11020,CHAMOIS                                 ,1/1/2024,12/31/9999,x       ,         
11020,CHARVENSOD                              ,1/1/2024,12/31/9999,x       ,         
11024,CHÂTILLON                               ,1/1/2024,12/31/9999,x       ,         
23022,CHIAVENNA                               ,1/1/2024,12/31/9999,x       ,         
23023,CHIESA IN VALMALENCO                    ,1/1/2024,12/31/9999,x       ,         
23030,CHIURO                                  ,1/1/2024,12/31/9999,x       ,         
23010,CINO                                    ,1/1/2024,12/31/9999,x       ,         
22070,CIRIMIDO                                ,1/1/2024,12/31/9999,x       ,x        
21040,CISLAGO                                 ,1/1/2024,12/31/9999,x       ,x        
21033,CITTIGLIO                               ,1/1/2024,12/31/9999,x       ,x        
23862,CIVATE                                  ,1/1/2024,12/31/9999,x       ,x        
23010,CIVO                                    ,1/1/2024,12/31/9999,x       ,         
22010,CLAINO CON OSTENO                       ,1/1/2024,12/31/9999,x       ,x        
21050,CLIVIO                                  ,1/1/2024,12/31/9999,x       ,x        
21034,COCQUIO-TREVISAGO                       ,1/1/2024,12/31/9999,x       ,x        
20815,COGLIATE                                ,1/1/2024,12/31/9999,x       ,         
23823,COLICO                                  ,1/1/2024,12/31/9999,x       ,x        
22010,COLONNO                                 ,1/1/2024,12/31/9999,x       ,x        
23010,COLORINA                                ,1/1/2024,12/31/9999,x       ,         
22041,COLVERDE                                ,1/1/2024,12/31/9999,x       ,x        
21020,COMABBIO                                ,1/1/2024,12/31/9999,x       ,x        
21025,COMERIO                                 ,1/1/2024,12/31/9999,x       ,x        
22100,COMO                                    ,1/1/2024,12/31/9999,x       ,x        
22010,CORRIDO                                 ,1/1/2024,12/31/9999,x       ,x        
25040,CORTENO GOLGI                           ,1/1/2024,12/31/9999,x       ,         
23013,COSIO VALTELLINO                        ,1/1/2024,12/31/9999,x       ,         
28801,COSSOGNO                                ,1/1/2024,12/31/9999,x       ,x        
23845,COSTA MASNAGA                           ,1/1/2024,12/31/9999,x       ,x        
11013,COURMAYEUR                              ,1/1/2024,12/31/9999,x       ,         
13020,CRAVAGLIANA                             ,1/1/2024,12/31/9999,x       ,         
28852,CRAVEGGIA                               ,1/1/2024,12/31/9999,x       ,x        
21030,CREMENAGA                               ,1/1/2024,12/31/9999,x       ,x        
22010,CREMIA                                  ,1/1/2024,12/31/9999,x       ,x        
28865,CREVOLADOSSOLA                          ,1/1/2024,12/31/9999,x       ,x        
28862,CRODO                                   ,1/1/2024,12/31/9999,x       ,x        
21020,CROSIO DELLA VALLE                      ,1/1/2024,12/31/9999,x       ,x        
21050,CUASSO AL MONTE                         ,1/1/2024,12/31/9999,x       ,x        
22060,CUCCIAGO                                ,1/1/2024,12/31/9999,x       ,x        
21030,CUGLIATE-FABIASCO                       ,1/1/2024,12/31/9999,x       ,x        
21035,CUNARDO                                 ,1/1/2024,12/31/9999,x       ,x        
21010,CURIGLIA CON MONTEVIASCO                ,1/1/2024,12/31/9999,x       ,x        
39027,CURON VENOSTA                           ,1/1/2024,12/31/9999,x       ,         
22010,CUSINO                                  ,1/1/2024,12/31/9999,x       ,x        
21030,CUVEGLIO                                ,1/1/2024,12/31/9999,x       ,x        
21030,CUVIO                                   ,1/1/2024,12/31/9999,x       ,x        
21020,DAVERIO                                 ,1/1/2024,12/31/9999,x       ,x        
23010,DAZIO                                   ,1/1/2024,12/31/9999,x       ,         
23014,DELEBIO                                 ,1/1/2024,12/31/9999,x       ,         
23824,DERVIO                                  ,1/1/2024,12/31/9999,x       ,x        
22020,DIZZASCO                                ,1/1/2024,12/31/9999,x       ,x        
22013,DOMASO                                  ,1/1/2024,12/31/9999,x       ,x        
28845,DOMODOSSOLA                             ,1/1/2024,12/31/9999,x       ,x        
22014,DONGO                                   ,1/1/2024,12/31/9999,x       ,x        
23824,DORIO                                   ,1/1/2024,12/31/9999,x       ,x        
22010,DOSSO DEL LIRO                          ,1/1/2024,12/31/9999,x       ,x        
11010,DOUES                                   ,1/1/2024,12/31/9999,x       ,         
28853,DRUOGNO                                 ,1/1/2024,12/31/9999,x       ,x        
23015,DUBINO                                  ,1/1/2024,12/31/9999,x       ,         
21010,DUMENZA                                 ,1/1/2024,12/31/9999,x       ,x        
21030,DUNO                                    ,1/1/2024,12/31/9999,x       ,x        
25048,EDOLO                                   ,1/1/2024,12/31/9999,x       ,         
11020,EMARÈSE                                 ,1/1/2024,12/31/9999,x       ,         
22036,ERBA                                    ,1/1/2024,12/31/9999,x       ,x        
23825,ESINO LARIO                             ,1/1/2024,12/31/9999,x       ,x        
11014,ETROUBLES                               ,1/1/2024,12/31/9999,x       ,         
22030,EUPILIO                                 ,1/1/2024,12/31/9999,x       ,x        
23020,FAEDO VALTELLINO                        ,1/1/2024,12/31/9999,x       ,         
22020,FAGGETO LARIO                           ,1/1/2024,12/31/9999,x       ,x        
21054,FAGNANO OLONA                           ,1/1/2024,12/31/9999,x       ,x        
22020,FALOPPIO                                ,1/1/2024,12/31/9999,x       ,x        
22070,FENEGRÒ                                 ,1/1/2024,12/31/9999,x       ,x        
11020,FÉNIS                                   ,1/1/2024,12/31/9999,x       ,         
21030,FERRERA DI VARESE                       ,1/1/2024,12/31/9999,x       ,x        
22060,FIGINO SERENZA                          ,1/1/2024,12/31/9999,x       ,x        
22073,FINO MORNASCO                           ,1/1/2024,12/31/9999,x       ,x        
13025,FOBELLO                                 ,1/1/2024,12/31/9999,x       ,         
23010,FORCOLA                                 ,1/1/2024,12/31/9999,x       ,         
28863,FORMAZZA                                ,1/1/2024,12/31/9999,x       ,x        
23010,FUSINE                                  ,1/1/2024,12/31/9999,x       ,         
11020,GABY                                    ,1/1/2024,12/31/9999,x       ,         
21013,GALLARATE                               ,1/1/2024,12/31/9999,x       ,x        
21020,GALLIATE LOMBARDO                       ,1/1/2024,12/31/9999,x       ,x        
22010,GARZENO                                 ,1/1/2024,12/31/9999,x       ,x        
21026,GAVIRATE                                ,1/1/2024,12/31/9999,x       ,x        
21045,GAZZADA SCHIANNO                        ,1/1/2024,12/31/9999,x       ,x        
21036,GEMONIO                                 ,1/1/2024,12/31/9999,x       ,x        
22010,GERA LARIO                              ,1/1/2024,12/31/9999,x       ,x        
21040,GERENZANO                               ,1/1/2024,12/31/9999,x       ,         
21010,GERMIGNAGA                              ,1/1/2024,12/31/9999,x       ,x        
28823,GHIFFA                                  ,1/1/2024,12/31/9999,x       ,x        
11010,GIGNOD                                  ,1/1/2024,12/31/9999,x       ,         
20833,GIUSSANO                                ,1/1/2024,12/31/9999,x       ,         
39020,GLORENZA                                ,1/1/2024,12/31/9999,x       ,         
23020,GORDONA                                 ,1/1/2024,12/31/9999,x       ,         
21050,GORLA MAGGIORE                          ,1/1/2024,12/31/9999,x       ,x        
21055,GORLA MINORE                            ,1/1/2024,12/31/9999,x       ,x        
21040,GORNATE OLONA                           ,1/1/2024,12/31/9999,x       ,x        
22070,GRANDATE                                ,1/1/2024,12/31/9999,x       ,x        
22010,GRANDOLA ED UNITI                       ,1/1/2024,12/31/9999,x       ,x        
21030,GRANTOLA                                ,1/1/2024,12/31/9999,x       ,x        
22015,GRAVEDONA ED UNITI                      ,1/1/2024,12/31/9999,x       ,x        
11020,GRESSAN                                 ,1/1/2024,12/31/9999,x       ,         
11020,GRESSONEY-LA-TRINITÉ                    ,1/1/2024,12/31/9999,x       ,         
11025,GRESSONEY-SAINT-JEAN                    ,1/1/2024,12/31/9999,x       ,         
22011,GRIANTE                                 ,1/1/2024,12/31/9999,x       ,x        
23033,GROSIO                                  ,1/1/2024,12/31/9999,x       ,         
23034,GROSOTTO                                ,1/1/2024,12/31/9999,x       ,         
22070,GUANZATE                                ,1/1/2024,12/31/9999,x       ,x        
28828,GURRO                                   ,1/1/2024,12/31/9999,x       ,x        
21020,INARZO                                  ,1/1/2024,12/31/9999,x       ,x        
25040,INCUDINE                                ,1/1/2024,12/31/9999,x       ,         
21056,INDUNO OLONA                            ,1/1/2024,12/31/9999,x       ,x        
28816,INTRAGNA                                ,1/1/2024,12/31/9999,x       ,x        
11010,INTROD                                  ,1/1/2024,12/31/9999,x       ,         
22044,INVERIGO                                ,1/1/2024,12/31/9999,x       ,x        
21040,JERAGO CON ORAGO                        ,1/1/2024,12/31/9999,x       ,x        
11020,JOVENÇAN                                ,1/1/2024,12/31/9999,x       ,         
11020,LA MAGDELEINE                           ,1/1/2024,12/31/9999,x       ,         
11015,LA SALLE                                ,1/1/2024,12/31/9999,x       ,         
11016,LA THUILE                               ,1/1/2024,12/31/9999,x       ,         
22010,LAGLIO                                  ,1/1/2024,12/31/9999,x       ,x        
22020,LAINO                                   ,1/1/2024,12/31/9999,x       ,x        
22045,LAMBRUGO                                ,1/1/2024,12/31/9999,x       ,x        
23020,LANZADA                                 ,1/1/2024,12/31/9999,x       ,         
39023,LASA                                    ,1/1/2024,12/31/9999,x       ,         
22030,LASNIGO                                 ,1/1/2024,12/31/9999,x       ,x        
21037,LAVENA PONTE TRESA                      ,1/1/2024,12/31/9999,x       ,x        
21014,LAVENO-MOMBELLO                         ,1/1/2024,12/31/9999,x       ,x        
20824,LAZZATE                                 ,1/1/2024,12/31/9999,x       ,         
21038,LEGGIUNO                                ,1/1/2024,12/31/9999,x       ,x        
20823,LENTATE SUL SEVESO                      ,1/1/2024,12/31/9999,x       ,         
22025,LEZZENO                                 ,1/1/2024,12/31/9999,x       ,x        
23827,LIERNA                                  ,1/1/2024,12/31/9999,x       ,x        
22070,LIMIDO COMASCO                          ,1/1/2024,12/31/9999,x       ,x        
22030,LIPOMO                                  ,1/1/2024,12/31/9999,x       ,x        
23041,LIVIGNO                                 ,1/1/2024,12/31/9999,x       ,         
22010,LIVO                                    ,1/1/2024,12/31/9999,x       ,x        
22070,LOCATE VARESINO                         ,1/1/2024,12/31/9999,x       ,x        
22074,LOMAZZO                                 ,1/1/2024,12/31/9999,x       ,x        
21050,LONATE CEPPINO                          ,1/1/2024,12/31/9999,x       ,x        
22030,LONGONE AL SEGRINO                      ,1/1/2024,12/31/9999,x       ,x        
23030,LOVERO                                  ,1/1/2024,12/31/9999,x       ,         
21040,LOZZA                                   ,1/1/2024,12/31/9999,x       ,x        
21016,LUINO                                   ,1/1/2024,12/31/9999,x       ,x        
22070,LUISAGO                                 ,1/1/2024,12/31/9999,x       ,x        
22040,LURAGO D'ERBA                           ,1/1/2024,12/31/9999,x       ,x        
22070,LURAGO MARINONE                         ,1/1/2024,12/31/9999,x       ,x        
22075,LURATE CACCIVIO                         ,1/1/2024,12/31/9999,x       ,x        
21020,LUVINATE                                ,1/1/2024,12/31/9999,x       ,x        
21061,MACCAGNO CON PINO E VEDDASCA            ,1/1/2024,12/31/9999,x       ,x        
28876,MACUGNAGA                               ,1/1/2024,12/31/9999,x       ,x        
23024,MADESIMO                                ,1/1/2024,12/31/9999,x       ,         
22030,MAGREGLIO                               ,1/1/2024,12/31/9999,x       ,x        
28854,MALESCO                                 ,1/1/2024,12/31/9999,x       ,x        
39024,MALLES VENOSTA                          ,1/1/2024,12/31/9999,x       ,         
21046,MALNATE                                 ,1/1/2024,12/31/9999,x       ,x        
25040,MALONNO                                 ,1/1/2024,12/31/9999,x       ,         
23826,MANDELLO DEL LARIO                      ,1/1/2024,12/31/9999,x       ,x        
23016,MANTELLO                                ,1/1/2024,12/31/9999,x       ,         
21030,MARCHIROLO                              ,1/1/2024,12/31/9999,x       ,x        
22066,MARIANO COMENSE                         ,1/1/2024,12/31/9999,x       ,x        
39020,MARTELLO                                ,1/1/2024,12/31/9999,x       ,         
21030,MARZIO                                  ,1/1/2024,12/31/9999,x       ,x        
21030,MASCIAGO PRIMO                          ,1/1/2024,12/31/9999,x       ,x        
28855,MASERA                                  ,1/1/2024,12/31/9999,x       ,x        
22026,MASLIANICO                              ,1/1/2024,12/31/9999,x       ,x        
23030,MAZZO DI VALTELLINA                     ,1/1/2024,12/31/9999,x       ,         
20821,MEDA                                    ,1/1/2024,12/31/9999,x       ,         
23010,MELLO                                   ,1/1/2024,12/31/9999,x       ,         
22017,MENAGGIO                                ,1/1/2024,12/31/9999,x       ,x        
21020,MERCALLO                                ,1/1/2024,12/31/9999,x       ,x        
28802,MERGOZZO                                ,1/1/2024,12/31/9999,x       ,x        
22046,MERONE                                  ,1/1/2024,12/31/9999,x       ,x        
23020,MESE                                    ,1/1/2024,12/31/9999,x       ,         
21030,MESENZANA                               ,1/1/2024,12/31/9999,x       ,x        
28817,MIAZZINA                                ,1/1/2024,12/31/9999,x       ,x        
20826,MISINTO                                 ,1/1/2024,12/31/9999,x       ,         
13020,MOLLIA                                  ,1/1/2024,12/31/9999,x       ,         
23847,MOLTENO                                 ,1/1/2024,12/31/9999,x       ,         
22010,MOLTRASIO                               ,1/1/2024,12/31/9999,x       ,x        
22040,MONGUZZO                                ,1/1/2024,12/31/9999,x       ,x        
25040,MONNO                                   ,1/1/2024,12/31/9999,x       ,         
23020,MONTAGNA IN VALTELLINA                  ,1/1/2024,12/31/9999,x       ,         
22070,MONTANO LUCINO                          ,1/1/2024,12/31/9999,x       ,x        
28864,MONTECRESTESE                           ,1/1/2024,12/31/9999,x       ,x        
21010,MONTEGRINO VALTRAVAGLIA                 ,1/1/2024,12/31/9999,x       ,x        
22010,MONTEMEZZO                              ,1/1/2024,12/31/9999,x       ,x        
28843,MONTESCHENO                             ,1/1/2024,12/31/9999,x       ,x        
22030,MONTORFANO                              ,1/1/2024,12/31/9999,x       ,x        
21020,MONVALLE                                ,1/1/2024,12/31/9999,x       ,x        
21040,MORAZZONE                               ,1/1/2024,12/31/9999,x       ,x        
23017,MORBEGNO                                ,1/1/2024,12/31/9999,x       ,         
11017,MORGEX                                  ,1/1/2024,12/31/9999,x       ,         
21020,MORNAGO                                 ,1/1/2024,12/31/9999,x       ,x        
22076,MOZZATE                                 ,1/1/2024,12/31/9999,x       ,x        
22010,MUSSO                                   ,1/1/2024,12/31/9999,x       ,x        
22020,NESSO                                   ,1/1/2024,12/31/9999,x       ,x        
23895,NIBIONNO                                ,1/1/2024,12/31/9999,x       ,x        
23025,NOVATE MEZZOLA                          ,1/1/2024,12/31/9999,x       ,         
22060,NOVEDRATE                               ,1/1/2024,12/31/9999,x       ,x        
11020,NUS                                     ,1/1/2024,12/31/9999,x       ,         
28824,OGGEBBIO                                ,1/1/2024,12/31/9999,x       ,x        
21040,OGGIONA CON SANTO STEFANO               ,1/1/2024,12/31/9999,x       ,x        
22077,OLGIATE COMASCO                         ,1/1/2024,12/31/9999,x       ,x        
23865,OLIVETO LARIO                           ,1/1/2024,12/31/9999,x       ,x        
11010,OLLOMONT                                ,1/1/2024,12/31/9999,x       ,         
22070,OLTRONA DI SAN MAMETTE                  ,1/1/2024,12/31/9999,x       ,x        
21030,ORINO                                   ,1/1/2024,12/31/9999,x       ,x        
22030,ORSENIGO                                ,1/1/2024,12/31/9999,x       ,x        
11010,OYACE                                   ,1/1/2024,12/31/9999,x       ,         
23833,PAGNONA                                 ,1/1/2024,12/31/9999,x       ,x        
25050,PAISCO LOVENO                           ,1/1/2024,12/31/9999,x       ,         
28884,PALLANZENO                              ,1/1/2024,12/31/9999,x       ,x        
22010,PEGLIO                                  ,1/1/2024,12/31/9999,x       ,x        
38024,PEIO                                    ,1/1/2024,12/31/9999,x       ,         
23828,PERLEDO                                 ,1/1/2024,12/31/9999,x       ,x        
22010,PIANELLO DEL LARIO                      ,1/1/2024,12/31/9999,x       ,x        
23010,PIANTEDO                                ,1/1/2024,12/31/9999,x       ,         
23020,PIATEDA                                 ,1/1/2024,12/31/9999,x       ,         
28885,PIEDIMULERA                             ,1/1/2024,12/31/9999,x       ,x        
28886,PIEVE VERGONTE                          ,1/1/2024,12/31/9999,x       ,x        
22020,PIGRA                                   ,1/1/2024,12/31/9999,x       ,x        
13020,PIODE                                   ,1/1/2024,12/31/9999,x       ,         
23020,PIURO                                   ,1/1/2024,12/31/9999,x       ,         
22010,PLESIO                                  ,1/1/2024,12/31/9999,x       ,x        
23020,POGGIRIDENTI                            ,1/1/2024,12/31/9999,x       ,         
22020,POGNANA LARIO                           ,1/1/2024,12/31/9999,x       ,x        
11020,POLLEIN                                 ,1/1/2024,12/31/9999,x       ,         
22020,PONNA                                   ,1/1/2024,12/31/9999,x       ,x        
25056,PONTE DI LEGNO                          ,1/1/2024,12/31/9999,x       ,         
23026,PONTE IN VALTELLINA                     ,1/1/2024,12/31/9999,x       ,         
22037,PONTE LAMBRO                            ,1/1/2024,12/31/9999,x       ,x        
22018,PORLEZZA                                ,1/1/2024,12/31/9999,x       ,x        
21050,PORTO CERESIO                           ,1/1/2024,12/31/9999,x       ,x        
21010,PORTO VALTRAVAGLIA                      ,1/1/2024,12/31/9999,x       ,x        
23010,POSTALESIO                              ,1/1/2024,12/31/9999,x       ,         
23020,PRATA CAMPORTACCIO                      ,1/1/2024,12/31/9999,x       ,         
39026,PRATO ALLO STELVIO                      ,1/1/2024,12/31/9999,x       ,         
28818,PREMENO                                 ,1/1/2024,12/31/9999,x       ,x        
