keyword,position,volume,url,winner_hint
candidato medico svizzera,29,170,https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-permette-di-combinare-efficacemente-approccio-locale-e-visione-d-insieme-garantendo/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-eoc-ente-ospedaliero-cantonale-bellinzona/
candidato medico svizzera,51,170,https://frontaliereticino.ch/cerca-lavoro-ticino/medici-assistenti-in-formazione-medicina-interna-eoc-ente-ospedaliero-cantonale-bellinzona,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-eoc-ente-ospedaliero-cantonale-bellinzona/
casale lugano,13,170,https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano-ticino/,WINNER
casale lugano,39,170,https://frontaliereticino.ch/cerca-lavoro-ticino/hse-spezialist-casale-sa-lugano-ticino-b892fl/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano-ticino/
casale lugano,49,170,https://frontaliereticino.ch/cerca-lavoro-ticino/instrument-ingegnere-casale-sa-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano-ticino/
case anziani ticino offerte di lavoro,13,210,https://frontaliereticino.ch/cerca-lavoro-ticino/concorso-generale-2026-oscam-ospedale-e-casa-anziani-malcantonese-castelrotto/,WINNER
case anziani ticino offerte di lavoro,45,210,https://frontaliereticino.ch/cerca-lavoro-ticino/collaboratori-sanitari/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/concorso-generale-2026-oscam-ospedale-e-casa-anziani-malcantonese-castelrotto/
offerte lavoro eoc,13,210,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-ente-ospedaliero-cantonale/,WINNER
offerte lavoro eoc,23,210,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-lugano-eoc-ente-ospedaliero-cantonale/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-ente-ospedaliero-cantonale/
offerte lavoro eoc,52,210,https://frontaliereticino.ch/en/find-jobs-ticino/company-casale-sa/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-ente-ospedaliero-cantonale/
offerte lavoro educatore svizzera,17,90,https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-ticino/,WINNER
offerte lavoro educatore svizzera,45,90,https://frontaliereticino.ch/cerca-lavoro-ticino/educatore-trice-al-70-a-tempo-indeterminato-citta-di-mendrisio-mendrisio/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-ticino/
pemsa lugano,18,210,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-lugano-pemsa/,WINNER
pemsa lugano,29,210,https://frontaliereticino.ch/cerca-lavoro-ticino/plombier-experimente-pemsa-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-lugano-pemsa/
pemsa lugano,35,210,https://frontaliereticino.ch/cerca-lavoro-ticino/elettricista-pemsa-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-lugano-pemsa/
pemsa lugano,43,210,https://frontaliereticino.ch/de/jobs-im-tessin/ausgaben-pemsa-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-lugano-pemsa/
infermiere lugano,23,110,https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/,WINNER
infermiere lugano,50,110,https://frontaliereticino.ch/de/jobs-im-tessin/krankenschwestern-lis-lugano-istituti-sociali-pregassona/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/
pamp sa lavora con noi,24,90,https://frontaliereticino.ch/cerca-lavoro-ticino/support-to-head-of-gold-amp-silver-refinery-mks-pamp-castel-san-pietro/,WINNER
pamp sa lavora con noi,36,90,https://frontaliereticino.ch/cerca-lavoro-ticino/metal-amp-inventory-controller-mks-pamp-castel-san-pietro/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/support-to-head-of-gold-amp-silver-refinery-mks-pamp-castel-san-pietro/
medacta international sa rancate,24,1300,https://frontaliereticino.ch/cerca-lavoro-ticino/fresator-medacta-international-sa-castel-san-pietro-rancate/,WINNER
medacta international sa rancate,31,1300,https://frontaliereticino.ch/cerca-lavoro-ticino/it-web-developer-medacta-international-sa-rancate/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/fresator-medacta-international-sa-castel-san-pietro-rancate/
medacta international sa rancate,39,1300,https://frontaliereticino.ch/cerca-lavoro-ticino/r-d-project-engineer-hip-medacta-international-sa-rancate/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/fresator-medacta-international-sa-castel-san-pietro-rancate/
offerte di lavoro educatrice asilo nido svizzera italiana,25,140,https://frontaliereticino.ch/cerca-lavoro-ticino/educatore-trice-al-70-a-tempo-indeterminato-citta-di-mendrisio-mendrisio/,WINNER
offerte di lavoro educatrice asilo nido svizzera italiana,30,140,https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-dell-infanzia/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/educatore-trice-al-70-a-tempo-indeterminato-citta-di-mendrisio-mendrisio/
offerte di lavoro educatrice asilo nido svizzera italiana,35,140,https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-dell-infanzia-lis-lugano-istituti-sociali-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/educatore-trice-al-70-a-tempo-indeterminato-citta-di-mendrisio-mendrisio/
comuni frontalieri svizzera,25,90,https://frontaliereticino.ch/articoli-frontaliere/migliori-comuni-frontalieri,WINNER
comuni frontalieri svizzera,50,90,https://frontaliereticino.ch/de/grenzgaenger-ratgeber/grenzkarte,loser→https://frontaliereticino.ch/articoli-frontaliere/migliori-comuni-frontalieri
casale sa,25,170,https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano/,WINNER
casale sa,49,170,https://frontaliereticino.ch/en/find-jobs-ticino/company-casale-sa/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano/
infermieri lugano offerte lavoro,28,110,https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-pregassona/,WINNER
infermieri lugano offerte lavoro,52,110,https://frontaliereticino.ch/cerca-lavoro-ticino/assistenti-di-cura-lis-lugano-istituti-sociali-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-pregassona/
clinica moncucco,33,880,https://frontaliereticino.ch/cerca-lavoro-ticino/unione-clinica-moncucco-e-clinica-santa-chiara-lugano-moncucco/,WINNER
clinica moncucco,46,880,https://frontaliereticino.ch/cerca-lavoro-ticino/clinica-moncucco-gruppo-ospedaliero-moncucco-lugano/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/unione-clinica-moncucco-e-clinica-santa-chiara-lugano-moncucco/
calcolo stipendio netto in svizzera,33,390,https://frontaliereticino.ch/calcola-stipendio/,WINNER
calcolo stipendio netto in svizzera,46,390,https://frontaliereticino.ch/,loser→https://frontaliereticino.ch/calcola-stipendio/
calcolatore stipendio netto svizzera,42,390,https://frontaliereticino.ch/,WINNER
calcolatore stipendio netto svizzera,48,390,https://frontaliereticino.ch/de/gehalt-berechnen/lohnabrechnung-simulieren,loser→https://frontaliereticino.ch/
ibsa lugano offerte lavoro,46,90,https://frontaliereticino.ch/cerca-lavoro-ticino/contractors-audits-specialista-ibsa-institut-biochimique-montagnola/,WINNER
ibsa lugano offerte lavoro,50,90,https://frontaliereticino.ch/cerca-lavoro-ticino/specialista-supporto-cliente-e-affari-ibsa-institut-biochimique-montagnola/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/contractors-audits-specialista-ibsa-institut-biochimique-montagnola/
calcolo stipendio netto svizzera frontaliere,46,170,https://frontaliereticino.ch/calcola-stipendio/confronta-retribuzione-ral/,WINNER
calcolo stipendio netto svizzera frontaliere,50,170,https://frontaliereticino.ch/fr/calculer-salaire/salaire-net-80000-chf,loser→https://frontaliereticino.ch/calcola-stipendio/confronta-retribuzione-ral/
